snapshot date,project id,dataset name,table name,table type,storage last modified time,total logical tb,project logical tb,percentage of project logical tb,billing model,last queried,table creation date,statement type,user email,user type
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,temp_acx_customer,BASE TABLE,2021-05-25 13:47:19.593000 UTC, 0.0000390 , 0.012854 ,30.35%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,temp_bt_appvisits,BASE TABLE,2021-05-25 13:48:25.306000 UTC, 0.0000540 , 0.012854 ,41.98%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_ops,x_ccn_ee_exbr_batch_master,BASE TABLE,2022-03-02 19:35:42.305000 UTC, 0.0000000 , 0.989804 ,0.00%,LOGICAL,17/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_ops,x_ccn_ee_exbr_batch_master,BASE TABLE,2022-03-15 17:55:52.341000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,17/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_users_and_roles_rw,ee_mobile_case_handlers,BASE TABLE,2022-04-06 15:10:04.339000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,17/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_rw,error_table_eoi,BASE TABLE,2022-04-14 16:02:35.023000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_stg,bt_con_ecomm_eoi_prod_offr_stg,BASE TABLE,2022-04-18 11:11:42.386000 UTC, 0.0000023 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_stg,bt_con_ecomm_eoi_prod_offr_stg_final,BASE TABLE,2022-04-19 09:37:00.465000 UTC, 0.0000011 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_ops,x_ccn_wlms2_crm_master,BASE TABLE,2022-04-20 08:07:21.391000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,17/10/2025,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_ops,x_ccn_wlms2_master,BASE TABLE,2022-05-02 04:49:44.123000 UTC, 0.0000000 , 0.002784 ,0.01%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_ee_home_con_channel_group,BASE TABLE,2022-05-04 06:16:48.720000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_ee_home_con_channel_type,BASE TABLE,2022-05-04 06:16:52.288000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_ee_home_con_sales_channel,BASE TABLE,2022-05-04 06:16:55.572000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_ee_home_con_sales_function,BASE TABLE,2022-05-04 06:17:01.985000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_ee_home_con_channel_sales_function,BASE TABLE,2022-05-04 06:17:05.240000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_ops,x_ccn_wlms2_master,BASE TABLE,2022-05-05 15:14:21.825000 UTC, 0.0000000 , 0.989804 ,0.00%,LOGICAL,19/10/2025,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,w_ee_paym_apple_music_sub,BASE TABLE,2022-06-02 09:00:21.292000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_rw,essence_lookup,BASE TABLE,2022-06-07 10:15:05.767000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,parquet_testing_table,BASE TABLE,2022-06-21 10:01:39.205000 UTC, 0.0000012 , 0.002784 ,4.30%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,parquet_bq,BASE TABLE,2022-06-21 10:01:51.133000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_rw,ee_paym_apple_music_sub,BASE TABLE,2022-06-22 07:43:14.414000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_rw,ee_paym_apple_arcade_sub,BASE TABLE,2022-06-22 07:43:21.616000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,temp_parquet_table,BASE TABLE,2022-06-29 05:09:11.307000 UTC, 0.0000012 , 0.002784 ,4.30%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,parquet_json,BASE TABLE,2022-06-29 08:01:59.323000 UTC, 0.0000000 , 0.002784 ,0.01%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,pq,BASE TABLE,2022-06-29 11:44:11.431000 UTC, 0.0000000 , 0.002784 ,0.01%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,pq2,BASE TABLE,2022-06-30 05:59:28.815000 UTC, 0.0000000 , 0.002784 ,0.01%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,w_parquet_test,BASE TABLE,2022-06-30 06:21:31.021000 UTC, 0.0000012 , 0.002784 ,4.30%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_stg,test_parquet_prd_sample,BASE TABLE,2022-07-05 09:44:11.873000 UTC, 0.0000000 , 0.002784 ,0.01%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_stg,decibel_con_ccn_metadata,BASE TABLE,2022-07-20 10:08:00.876000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_stg,w_decibel_ee_mobile_app_session,BASE TABLE,2022-07-20 10:51:47.877000 UTC, 0.0000019 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_stg,w_decibel_bt_mobile_app_session,BASE TABLE,2022-07-20 10:51:57.435000 UTC, 0.0000019 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_stg,w_decibel_bt_mobile_app_pageview,BASE TABLE,2022-07-20 10:52:17.324000 UTC, 0.0000104 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_stg,w_decibel_ee_mobile_app_pageview,BASE TABLE,2022-07-20 10:52:24.993000 UTC, 0.0000104 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_marketing_campaign_bb_uso_rw,bt_con_bbuso_data,BASE TABLE,2022-08-09 11:13:49.511000 UTC, 0.0000112 , 0.989804 ,0.11%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_competitor_rw,test_FDM_Multi,BASE TABLE,2022-08-17 06:38:13.612000 UTC, 0.0000000 , 0.002784 ,0.11%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_ee_home_con_sales_entity,BASE TABLE,2022-09-16 13:00:39.789000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_communication_interaction_rw,tmp_log_check,BASE TABLE,2022-09-17 19:28:41.370000 UTC, 0.0000007 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_ops,x_ccn_ee_exbr_account_cust_master,BASE TABLE,2022-11-16 06:54:01.781000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_ops,plusnet_market_ccn_metadata,BASE TABLE,2022-11-23 21:09:40.630000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_ops,unica_con_conv_ccn_metadata,BASE TABLE,2023-02-15 06:07:08.766000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_ops,unica_con_conv_ccn_metadata,BASE TABLE,2023-02-21 13:56:36.947000 UTC, 0.0000000 , 0.989804 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_ops,x_ccn_plusnet_master,BASE TABLE,2023-02-24 09:28:57.067000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,19/10/2025,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_ops,plusnet_market_ccn_metadata,BASE TABLE,2023-02-28 13:09:21.480000 UTC, 0.0000000 , 0.989804 ,0.00%,LOGICAL,19/10/2025,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_stg,w_plusnet_affiliate_window_resident,BASE TABLE,2023-03-21 04:53:23.576000 UTC, 0.0000011 , 0.002784 ,3.79%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_rw,plusnet_affiliate_window_resident,BASE TABLE,2023-03-21 04:53:32.469000 UTC, 0.0000011 , 0.002784 ,3.80%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_tkn_ops,x_ccn_ee_exbr_batch_master,BASE TABLE,2023-03-31 11:11:02.108000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_ops,x_ccn_ee_exbr_batch_master,BASE TABLE,2023-03-31 11:13:51.044000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_tkn_ops,unica_con_conv_ccn_metadata,BASE TABLE,2023-05-11 14:27:34.591000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_copy,BASE TABLE,2023-05-16 06:38:55.274000 UTC, 0.0025129 , 0.012854 ,1954.95%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_webvisits_copy,BASE TABLE,2023-05-16 06:40:30.852000 UTC, 0.0015725 , 0.012854 ,1223.32%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_16_05,BASE TABLE,2023-05-16 11:28:56.884000 UTC, 0.0025129 , 0.012854 ,1954.95%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_webvisits_16_05,BASE TABLE,2023-05-16 11:29:43.674000 UTC, 0.0015725 , 0.012854 ,1223.32%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_tkn_ops,x_ccn_ee_exbr_batch_master,BASE TABLE,2023-05-17 12:26:03.052000 UTC, 0.0000000 , 0.989804 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,backup_bt_webvisits,BASE TABLE,2023-05-30 10:01:00.616000 UTC, 0.0000000 , 0.012854 ,0.02%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_tkn_stg,w_ee_paym_dealer_groups,BASE TABLE,2023-06-12 09:38:11.219000 UTC, 0.0000037 , 0.002784 ,13.35%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_tkn_rw,ee_paym_dealer_groups_hist,BASE TABLE,2023-06-12 09:38:19.827000 UTC, -   , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_sales_channel_tkn_rw,ee_paym_dealer_groups,BASE TABLE,2023-06-12 09:38:29.802000 UTC, 0.0000037 , 0.002784 ,13.35%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_tkn_stg,w_unica_con_conv_history_amend,BASE TABLE,2023-06-13 07:44:42.688000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_tkn_rw,unica_con_conv_history_amend,BASE TABLE,2023-06-13 07:44:47.767000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_tkn_ops,unica_con_conv_ccn_metadata,BASE TABLE,2023-06-14 11:27:44.306000 UTC, 0.0000000 , 0.989804 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_profilehub_stg,w_tmf644_con_identity_privacyprofile_temporary,BASE TABLE,2023-06-19 05:30:55.920000 UTC, 0.0000006 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230630,BASE TABLE,2023-06-30 21:03:36.366000 UTC, 0.0000000 , 0.000076 ,1.51%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230630,BASE TABLE,2023-06-30 21:03:37.343000 UTC, 0.0000000 , 0.000076 ,1.51%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230630,BASE TABLE,2023-06-30 21:04:06.741000 UTC, 0.0000000 , 0.000901 ,0.13%,LOGICAL,18/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230630,BASE TABLE,2023-06-30 21:04:10.413000 UTC, 0.0000000 , 0.000901 ,0.13%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-data,cons_ccn_market_marketing_campaigns_tkn_stg,w_unica_con_conv_history_amend,BASE TABLE,2023-07-04 10:22:52.424000 UTC, -   , 0.989804 ,0.00%,LOGICAL,20/09/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230704,BASE TABLE,2023-07-04 13:55:16.473000 UTC, 0.0000000 , 0.000076 ,0.95%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230704,BASE TABLE,2023-07-04 13:55:17.752000 UTC, 0.0000000 , 0.000076 ,0.95%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230704,BASE TABLE,2023-07-04 13:55:31.845000 UTC, 0.0000000 , 0.000901 ,0.08%,LOGICAL,18/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230704,BASE TABLE,2023-07-04 13:55:35.849000 UTC, 0.0000000 , 0.000901 ,0.08%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230705,BASE TABLE,2023-07-05 14:12:51.849000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20230705,BASE TABLE,2023-07-05 14:12:57.488000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230705,BASE TABLE,2023-07-05 21:01:13.995000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230705,BASE TABLE,2023-07-05 21:01:14.804000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230706,BASE TABLE,2023-07-06 17:11:37.094000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20230706,BASE TABLE,2023-07-06 17:11:37.126000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230706,BASE TABLE,2023-07-06 21:01:47.484000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230706,BASE TABLE,2023-07-06 21:01:50.120000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_tkn_stg,w_unica_con_conv_history_drop,BASE TABLE,2023-07-07 06:05:18.464000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-market-dev-data,cons_ccn_market_marketing_campaigns_tkn_rw,unica_con_conv_history_drop,BASE TABLE,2023-07-07 06:05:29.695000 UTC, 0.0000000 , 0.002784 ,0.03%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20230707,BASE TABLE,2023-07-07 11:11:35.441000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230707,BASE TABLE,2023-07-07 11:11:36.753000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230707,BASE TABLE,2023-07-07 12:33:57.676000 UTC, 0.0000000 , 0.003553 ,0.02%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230707,BASE TABLE,2023-07-07 12:33:57.754000 UTC, 0.0000000 , 0.003553 ,0.02%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230707,BASE TABLE,2023-07-07 12:51:42.180000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230707,BASE TABLE,2023-07-07 12:51:46.526000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_tkn_ops,x_ccn_ee_exbr_account_cust_master,BASE TABLE,2023-07-18 07:59:54.939000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_account_stg,w_ee_mobile_account_types,BASE TABLE,2023-07-24 14:05:00.524000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_account_rw,ee_mobile_account_types,BASE TABLE,2023-07-27 10:34:19.942000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,18/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_account_rw,ee_mobile_account_types_hist,BASE TABLE,2023-07-27 10:36:07.979000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_account_tkn_stg,w_ee_mobile_account_types,BASE TABLE,2023-07-27 10:54:12.548000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_account_tkn_rw,ee_mobile_account_types,BASE TABLE,2023-07-27 11:26:33.947000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,18/10/2025,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_users_and_roles_tkn_rw,ee_mobile_case_handlers,BASE TABLE,2023-08-16 11:43:08.876000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,bt_webvisits_17_08,BASE TABLE,2023-08-17 05:58:38.022000 UTC, 0.0008641 , 0.012854 ,672.27%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_webvisits_17_08,BASE TABLE,2023-08-17 05:59:30.043000 UTC, 0.0005458 , 0.012854 ,424.61%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-common-data,cons_ccn_common_tkn_ops,x_ccn_ee_exbr_batch_master,BASE TABLE,2023-08-25 11:44:26.410000 UTC, 0.0000000 , 29.322808 ,0.00%,LOGICAL,14/10/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230830,BASE TABLE,2023-08-30 15:35:45.502000 UTC, 0.0000000 , 0.000901 ,0.45%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_activity_20230830,BASE TABLE,2023-08-30 15:38:24.327000 UTC, 0.0000000 , 0.000901 ,0.01%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20230830,BASE TABLE,2023-08-30 15:55:54.847000 UTC, 0.0000000 , 0.000901 ,0.03%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20230830,BASE TABLE,2023-08-30 23:03:22.419000 UTC, 0.0000000 , 0.000901 ,0.24%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-adobe-event-ext-dev-data,cons_ccn_adobe_events_rw,ee_appvisits_17_08,BASE TABLE,2023-08-31 05:52:58.582000 UTC, 0.0000137 , 0.012854 ,10.63%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20230831,BASE TABLE,2023-08-31 09:15:32.768000 UTC, 0.0000000 , 0.000076 ,0.28%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230831,BASE TABLE,2023-08-31 09:15:35.842000 UTC, 0.0000000 , 0.000076 ,1.52%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230831,BASE TABLE,2023-08-31 10:26:45.899000 UTC, 0.0000000 , 0.010443 ,0.04%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20230831,BASE TABLE,2023-08-31 10:26:53.418000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-market-dev-data,Test,sample_json,BASE TABLE,2023-08-31 14:38:02.644000 UTC, 0.0000000 , 0.002784 ,0.00%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20230831,BASE TABLE,2023-08-31 16:51:01.343000 UTC, 0.0000002 , 0.010443 ,0.15%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20230831,BASE TABLE,2023-09-01 00:03:31.878000 UTC, 0.0000001 , 0.000901 ,1.18%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230901,BASE TABLE,2023-09-01 04:01:14.739000 UTC, 0.0000000 , 0.010443 ,0.03%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20230901,BASE TABLE,2023-09-01 04:01:15.663000 UTC, 0.0000000 , 0.000076 ,0.76%,LOGICAL,< 2025-08-20,,,,
